  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           4	   1.964	   0.183	  0.287	  2.679	   3.25 	        4.93	   -1.863
           4	   3.235	   0.582	  0.166	  2.332	   7.5  	        5.35	    1.185
           3	   3.283	   0.486	  0.113	  2.051	   8.333	        4.58	    2.4
           4	   2.544	   0.385	  0.275	  2.539	   5.25 	        5.1 	   -0.493
           2	   2.418	   0.063	  0.222	  1.39 	   2    	        4.04	   -2.093
           4	   2.462	   0.392	  0.19 	  3.007	   5.25 	        4.99	   -0.801
           2	   2.418	   0.063	  0.222	  1.39 	   2    	        4.11	   -2.093
           3	   3.283	   0.324	  0.171	  2.322	   6    	        5.42	   -0.1
           4	   2.462	   0.417	  0.079	  2.132	   5.25 	        5.19	    0.16
           2	   3.605	   0.243	  0.126	  1.611	   6.5  	        3.92	    0.915
           2	   3.379	   0.198	  0.082	  1.564	   5.5  	        4.61	    0.277
           4	   2.636	   0.458	  0.118	  2.172	   6    	        5.89	    0.616
           3	   3.283	   0.324	  0.171	  2.322	   6    	        4.53	   -0.1
           4	   2.077	   0.282	  0.208	  2.017	   4    	        5.09	   -0.584
           4	   2.865	   0.381	  0.136	  2.697	   5.5  	        5.03	   -0.579
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.16	   -0.826
           4	   2.749	   0.421	  0.226	  2.616	   5.75 	        5.05	   -0.262
           2	   3.414	   0.262	  0.053	  1.65 	   8.5  	        4.04	    3.121
           2	   3.367	   0.12 	  0.122	  1.364	   3.5  	        3.89	   -1.473
